round,query,prec10
245,cat,0.7
245,dog,0.8
245,plane,0.7
245,clothes,0.9
245,car,0.8
246,cat,0.7
246,dog,0.8
246,plane,0.7
246,clothes,0.9
246,car,0.8
247,cat,0.7
247,dog,0.8
247,plane,0.7
247,clothes,0.9
247,car,0.8
248,cat,0.7
248,dog,0.8
248,plane,0.7
248,clothes,0.9
248,car,0.8
249,cat,0.7
249,dog,0.8
249,plane,0.7
249,clothes,0.9
249,car,0.8
250,cat,0.7
250,dog,0.8
250,plane,0.7
250,clothes,0.9
250,car,0.8
251,cat,0.7
251,dog,0.8
251,plane,0.7
251,clothes,0.9
251,car,0.8
252,cat,0.7
252,dog,0.8
252,plane,0.7
252,clothes,0.9
252,car,0.8
253,cat,0.7
253,dog,0.8
253,plane,0.7
253,clothes,0.9
253,car,0.8
254,cat,0.7
254,dog,0.8
254,plane,0.7
254,clothes,0.9
254,car,0.8
255,cat,0.7
255,dog,0.8
255,plane,0.7
255,clothes,0.9
255,car,0.8
256,cat,0.7
256,dog,0.8
256,plane,0.7
256,clothes,0.9
256,car,0.8
257,cat,0.7
257,dog,0.8
257,plane,0.7
257,clothes,0.9
257,car,0.8
258,cat,0.7
258,dog,0.8
258,plane,0.7
258,clothes,0.9
258,car,0.8
259,cat,0.7
259,dog,0.8
259,plane,0.7
259,clothes,0.9
259,car,0.8
260,cat,0.7
260,dog,0.8
260,plane,0.7
260,clothes,0.9
260,car,0.8
261,cat,0.7
261,dog,0.8
261,plane,0.7
261,clothes,0.9
261,car,0.8
262,cat,0.7
262,dog,0.8
262,plane,0.7
262,clothes,0.9
262,car,0.8
263,cat,0.7
263,dog,0.8
263,plane,0.7
263,clothes,0.9
263,car,0.8
264,cat,0.7
264,dog,0.8
264,plane,0.7
264,clothes,0.9
264,car,0.8
265,cat,0.7
265,dog,0.8
265,plane,0.7
265,clothes,0.9
265,car,0.8
266,cat,0.7
266,dog,0.8
266,plane,0.7
266,clothes,0.9
266,car,0.8
267,cat,0.7
267,dog,0.8
267,plane,0.7
267,clothes,0.9
267,car,0.8
268,cat,0.7
268,dog,0.8
268,plane,0.7
268,clothes,0.9
268,car,0.8
269,cat,0.7
269,dog,0.8
269,plane,0.7
269,clothes,0.9
269,car,0.8
270,cat,0.7
270,dog,0.8
270,plane,0.7
270,clothes,0.9
270,car,0.8
271,cat,0.7
271,dog,0.8
271,plane,0.7
271,clothes,0.9
271,car,0.8
272,cat,0.7
272,dog,0.8
272,plane,0.7
272,clothes,0.9
272,car,0.8
273,cat,0.7
273,dog,0.8
273,plane,0.7
273,clothes,0.9
273,car,0.8
274,cat,0.7
274,dog,0.8
274,plane,0.7
274,clothes,0.9
274,car,0.8
275,cat,0.7
275,dog,0.8
275,plane,0.7
275,clothes,0.9
275,car,0.8
276,cat,0.7
276,dog,0.8
276,plane,0.7
276,clothes,0.9
276,car,0.8
277,cat,0.7
277,dog,0.8
277,plane,0.7
277,clothes,0.9
277,car,0.8
278,cat,0.7
278,dog,0.8
278,plane,0.7
278,clothes,0.9
278,car,0.8
279,cat,0.7
279,dog,0.8
279,plane,0.7
279,clothes,0.9
279,car,0.8
280,cat,0.7
280,dog,0.8
280,plane,0.7
280,clothes,0.9
280,car,0.8
281,cat,0.7
281,dog,0.8
281,plane,0.7
281,clothes,0.9
281,car,0.8
282,cat,0.7
282,dog,0.8
282,plane,0.7
282,clothes,0.9
282,car,0.8
283,cat,0.7
283,dog,0.8
283,plane,0.7
283,clothes,0.9
283,car,0.8
284,cat,0.7
284,dog,0.8
284,plane,0.7
284,clothes,0.9
284,car,0.8
285,cat,0.7
285,dog,0.8
285,plane,0.7
285,clothes,0.9
285,car,0.8
286,cat,0.7
286,dog,0.8
286,plane,0.7
286,clothes,0.9
286,car,0.8
287,cat,0.7
287,dog,0.8
287,plane,0.7
287,clothes,0.9
287,car,0.8
288,cat,0.7
288,dog,0.8
288,plane,0.7
288,clothes,0.9
288,car,0.8
289,cat,0.7
289,dog,0.8
289,plane,0.7
289,clothes,0.9
289,car,0.8
290,cat,0.7
290,dog,0.8
290,plane,0.7
290,clothes,0.9
290,car,0.8
291,cat,0.7
291,dog,0.8
291,plane,0.7
291,clothes,0.9
291,car,0.8
292,cat,0.7
292,dog,0.8
292,plane,0.7
292,clothes,0.9
292,car,0.8
293,cat,0.7
293,dog,0.8
293,plane,0.7
293,clothes,0.9
293,car,0.8
294,cat,0.7
294,dog,0.8
294,plane,0.7
294,clothes,0.9
294,car,0.8
295,cat,0.7
295,dog,0.8
295,plane,0.7
295,clothes,0.9
295,car,0.8
296,cat,0.7
296,dog,0.8
296,plane,0.7
296,clothes,0.9
296,car,0.8
297,cat,0.7
297,dog,0.8
297,plane,0.7
297,clothes,0.9
297,car,0.8
298,cat,0.7
298,dog,0.8
298,plane,0.7
298,clothes,0.9
298,car,0.8
299,cat,0.7
299,dog,0.8
299,plane,0.7
299,clothes,0.9
299,car,0.8
300,cat,0.7
300,dog,0.8
300,plane,0.7
300,clothes,0.9
300,car,0.8
301,cat,0.7
301,dog,0.8
301,plane,0.7
301,clothes,0.9
301,car,0.8
302,cat,0.7
302,dog,0.8
302,plane,0.7
302,clothes,0.9
302,car,0.8
303,cat,0.7
303,dog,0.8
303,plane,0.7
303,clothes,0.9
303,car,0.8
304,cat,0.7
304,dog,0.8
304,plane,0.7
304,clothes,0.9
304,car,0.8
305,cat,0.7
305,dog,0.8
